link,content,date,title
http://www.info.gov.hk/gia/general/201207/01/P201207010277.htm,"
    	
	      行政長官在香港特別行政區第四屆政府就職典禮致辭全文（附圖／短片）
	    ＊＊＊＊＊＊＊＊＊＊＊＊＊＊＊＊＊＊＊＊＊＊＊＊＊＊＊＊＊＊
	    　　以下是行政長官梁振英今日（七月一日）上午出席在香港會議展覽中心舉行的香港特別行政區第四屆政府就職典禮的致辭全文：尊敬的胡主席、各位嘉賓、各位親愛的香港市民：　　今天，我懷謙卑的心，就任中華人民共和國香港特別行政區第四任行政長官。在我任內，我會以施政成效答謝中央政府和香港市民對我的信任。我會全力以赴，實踐我的競選承諾，帶領香港「穩中求變」，發展經濟，改善民生，促進民主，建立更繁榮、更進步、更公義的社會。　　回歸以來，國家一直大力支持香港，龐大的機遇引導和推動香港的發展；同時讓香港為國家的改革開放作出貢獻。未來，我們要繼續為國家和香港的共同發展、共同繁榮，努力不懈。　　回歸十五年，香港得以成功落實「一國兩制」、「港人治港」，高度自治，實在有賴全社會的努力。在此我衷心感謝兩位前任行政長官，董建華先生和曾蔭權先生，他們為「一國兩制」在香港特別行政區成功落實不懈努力，奠定了堅實的基礎。我也要感謝本屆行政長官選舉委員會委員和全體香港市民，他們的參與，為這場選舉帶來實質意義，我衷心希望全社會齊心一意，共建香港的未來。　　由我參選到當選這大半年間，我進行超過百次區訪，親身接觸過萬位不同階層、不同行業的市民。從今天開始，未來五年，我和管治團隊將走入民眾，拉近政府和市民的地理距離和心理距離。我們會虛心聆聽大家的建議和意見，切實回應市民的所想所需。　　我在參選宣言中強調：香港「不需要政策大變，只要適度有為，穩中求變」。今後，我們必須坐言起行，集中力量應對重大和迫切的問題。為了制定有效的策略和政策，「扶貧委員會」、「經濟發展委員會」和「金融發展局」的籌備小組，今天正式開始工作，要從高層次、跨部門、跨界別處理相關問題，務求在政策研究和落實方面做得到位。　　經濟持續發展是香港繁榮的根基，是市民生活的依靠。工商金融界一直是香港經濟發展的主要動力，對香港貢獻巨大。要促進持續和高速的經濟發展，政府必須協助香港大小投資者和企業，把握國家和全球的經濟發展機遇，開拓空間，爭取經濟多元發展，興旺百業，讓市民優質就業，共享繁榮，增加市民向上流動的機會，使中產階層不斷壯大。我們要善用國家在「十二．五」規劃給予香港的支持，鞏固和提升國際金融和貿易中心地位，推動航運業轉型升級。我們也要落實與內地簽署的各項經貿協議，擴大香港人在內地的就業和發展空間；同時制定產業政策，促進和支援對香港經濟發展有重要作用的支柱產業，包括境外的港資企業，以及有潛力的新興產業。我們要重視在內地發展的港商對本地經濟的貢獻，持續支持內地港商轉型升級。　　經濟要有所發展，人口問題和民生問題也要妥善處理。　　社會的素質取決於人的素質，人的素質取決於教育的素質。本屆政府將規劃長遠人口政策，優化人口結構和人力資源，推動社會和經濟平穩發展，為個人創造美好未來，為社會培育優秀人才。為此，教育政策要從專業出發，以學生為本，讓學生「學有所成，學以致用」。　　安居樂業是市民的心願，房屋是社會最關切的問題。我深信：要從規劃和供應入手，加建公屋，協助基層上樓；公平合理分配公共房屋資源，增加流通；適當增加土地供應，促進樓市穩定發展，協助中產置業；鼓勵自置居所，提升市民的歸屬感，促進向上流動。我們必須制定長遠房屋策略，完善地區規劃，建立土地儲備，迅速回應市場和社會對土地需求的變化，以提升香港的競爭力，並且逐步提高香港人的生活素質。　　家庭是每個人的支柱，是社會穩定的重要元素。我們要建立和諧家庭，支援弱勢社群；同時要宣揚敬老、愛老、護老精神，實現「老有所依、老有所養、老有所居」，尤其重照顧貧困長者的經濟需要。　　青少年是香港的未來，我們要從發展的角度，制定青少年政策，讓每個新一代的香港人都能發揮潛力、活力和創造力。　　香港社會整體富裕，所有市民都應享有基本生活保障，也應享有經濟發展的得益。我將盡快設立「扶貧委員會」，全面檢視、研究和系統地處理老年、在職、跨代、新移民、少數族裔和區域性貧窮等問題；我們也會積極推動公私營醫療的雙軌發展，讓香港人不論貧富，都病有所醫。　　七百萬香港人是一家，我會將香港建設成宜居的城市，推動市民節能減排，加強綠色和保育意識，同時保護香港的自然美景。　　在非物質生活方面，政府將一如以往尊重宗教自由，進一步提升文化素質，鼓勵創意。　　我必定恪守承諾：維護公義，保障市民權益；維護法治、廉潔、自由、民主等的香港核心價值，包容各種立場和意見；同時以身作則，廉潔自持，建立「行之正道」和誠信的政府。我會盡力保護每位市民的權利，並尊重新聞自由，維護媒體的獨立性。　　我會按《基本法》的規定和全國人大常委會的有關決定，推動民主政制發展；進一步優化政治任命和問責制，提高政府效率；同時建立服務型政府，與市民建立伙伴關係，鼓勵公民參與，凝聚力量，推動社會共融。　　本屆政府會繼往開來，落實「一國兩制」、「港人治港」，保持高度自治；維護國家和香港的利益，處理好「一國」和「兩制」之間的關係；加強團結社會各界，凝聚民心。　　要有效施政，就要有效管治。行政立法關係是管治的重要一環，通過法例、落實政策，都必須得到立法會和社會的廣泛支持，我希望今後和立法會加強溝通合作，齊心一意為香港。　　香港十八區各具特色，各自有可以發揮的優勢，我們會從資源和政策兩方面加以配合，積極發揮區議會的作用，讓地區問題在地區解決，地區機遇由地區掌握。　　我在選舉政綱中提出「家是香港」的願景。要建好這個家，我們必須加強團結，凝聚智慧。我相信市民的力量，我也知道團結社會各界、各行業的重要。　　參與選舉是一個令人謙卑的過程，讓我認識到自己的不足，體會到社會的集體智慧，更知道接受市民和傳媒監察的重要。　　香港社會面對不少挑戰，我們要齊心一意，迎難而上，認真應付困難，包容並協調分歧，化解社會矛盾；對於價值觀和政治立場多元化帶來的不同意見，我們要多聆聽，多包容，努力尋求共識。　　胡主席、各位嘉賓、各位香港市民，今天我和第四屆政府的主要官員和行政會議成員宣誓就職，我相信我們的團隊必定能夠互相砥礪，並肩合作，盡心盡力為香港市民服務。我深信，只要我們齊心一意，必定能夠將香港打造成兒童茁壯成長、青年實現理想、壯年人一展所長、長者安享晚年、七百萬市民安居樂業的理想家園。在我們共同努力下，香港這顆「東方之珠」必定能夠光芒再現，更形璀璨！　　多謝大家。
	    
  	  	完
  	  	２０１２年７月１日（星期日）香港時間１２時５８分
  	    
    ",2012-07-01,行政長官在香港特別行政區第四屆政府就職典禮致辭全文（附圖／短片）
http://www.info.gov.hk/gia/general/201207/02/P201207020347.htm,"
    	
	      行政長官筲箕灣會見傳媒談話全文（只有中文）（附圖／短片）
	    ＊＊＊＊＊＊＊＊＊＊＊＊＊＊＊＊＊＊＊＊＊＊＊＊＊＊＊＊
	    　　以下是行政長官梁振英今日（七月二日）在筲箕灣街坊福利事務促進會禮堂聽取市民意見後會見傳媒的談話全文：行政長官：我先講兩、三句。我先回應一下昨日那場遊行，正如我較早前所講，無論人數是警方所講的數字，或是大學講的八萬，或者是主辦所講的四十萬；亦無論他們所表達的方式是甚麼，他們的訴求是政治方面、社會方面或是民生方面的，我與我的團隊都會十分重視，我們會繼續以虛心的方式聆聽社會大眾的訴求，為大家盡快落實好我在政綱中給予大家的種種承諾。　　今日這一場落區的活動，是在新一屆特區政府成立後的第二天開展，雖然今日還未是第一個工作日，但我們都很希望能夠實踐我在競選期間的承諾，繼續落區，直接與市民面對面交談，拉近我們的地理距離、心理距離和政策距離。　　我相信大家都會同意的，就是剛剛一個多小時的時間裏，我聽取了二十一位東區的居民，就大概五、六十個方面的問題、意見和建議。我覺得這種交流是十分好的，裏面有不少的意見，我覺得是完全反映出我們的地區智慧。我希望與我的團隊回去後能夠好好地研究。記者：．．．．．．做法對不對？行政長官：這個問題警務處已經作出回應，警務處會根據．．．．．．記者：但你的回應是甚麼？行政長官：警務處講了，他們會調查這件事。記者：警務處有警務處的決策，但你的回應是甚麼？是否一個記者提問一條有關六四的問題都不可以？行政長官：我要等警務處有了調查後才可以回應大家的問題。記者：會否擔心在未來五年的日子你很難捱？行政長官：我會本我的政綱，落實好我政綱裏每一項給大家的承諾。明日會是我們特區班子第一個工作天，我相信我與我整個班子能夠團結一致，爭取市民的支持，為市民做好服務。記者：（如何保障新聞自由）行政長官：大家知道，我在過去多年的公職生涯當中，我與新聞界之間的接觸相當多，而且我對新聞界的採訪和其他相關的活動要求，我一直以來的回應都是十分積極和十分配合，下去我仍然會本這樣的原則和精神去做事，希望能夠透過新聞界的採訪將政府的政策、舉措和決定向全社會交代和報告，同時，亦希望透過新聞界的報道，能夠掌握到社會的脈搏。
	    
  	  	完
  	  	２０１２年７月２日（星期一）香港時間１６時１４分
  	    
    ",2012-07-02,行政長官筲箕灣會見傳媒談話全文（只有中文）（附圖／短片）
http://www.info.gov.hk/gia/general/201207/02/P201207020235.htm,"
    	
	      行政長官談話全文（只有中文）（附圖）
	    ＊＊＊＊＊＊＊＊＊＊＊＊＊＊＊＊＊＊
	    　　以下為行政長官梁振英今日（七月二日）上午出席一個活動前會見傳媒的談話全文：　　行政長官：大家好，市民的訴求，無論是用任何方式表達的，包括昨日遊行表達訴求的市民，無論人數有多少，我和我的政府團隊會認真和虛心聆聽；也無論這些訴求是關乎政治的、社會的，或者民生的，我們都希望能夠和廣大市民去爭取，去達到市民訴求的目標。因此今日是我們就任之後的第二天，雖然是公眾假期，我們今日也有很多場的「落區」活動，一會兒完了這個活動之後，我自己也會出席兩場「落區」活動，相信今日還是有時間可以與新聞界朋友就大家關心的問題一起探討的。
	    
  	  	完
  	  	２０１２年７月２日（星期一）香港時間１１時５５分
  	    
    ",2012-07-02,行政長官談話全文（只有中文）（附圖）
http://www.info.gov.hk/gia/general/201207/03/P201207030597.htm,"
    	
	      行政長官發言全文（只有中文）（附短片）
	    ＊＊＊＊＊＊＊＊＊＊＊＊＊＊＊＊＊＊＊
	    　　以下是行政長官梁振英今日（七月三日）晚上出席一項活動後會見傳媒的發言全文：記者：CY，你會否在答問大會主動解釋你的僭建事件?行政長官：我十分重視政府與立法會之間的關係，所以我在上任後第一個工作天，就決定在立法會本屆會期結束前，亦即是在未來的兩個星期，會去立法會的答問大會，向立法會議員講述我的施政理念，以及接受立法會議員的提問。多謝。
	    
  	  	完
  	  	２０１２年７月３日（星期二）香港時間２０時４６分
  	    
    ",2012-07-03,行政長官發言全文（只有中文）（附短片）
http://www.info.gov.hk/gia/general/201207/03/P201207030436.htm,"
    	
	      行政長官向立法會介紹施政理念

	    ＊＊＊＊＊＊＊＊＊＊＊＊＊＊
	    　　行政長官辦公室今日（七月三日）表示，行政長官會在本屆立法會會期結束前向立法會議員介紹其施政理念。　　發言人說：「行政長官十分重視行政立法關係，他在就任後第一個工作天表示，他會在本屆立法會會期結束前，出席立法會答問大會，向議員介紹他的施政理念，並就議會和市民關心的事宜回答議員的提問。」　　「行政長官會透過政務司司長告知立法會內務委員會主席上述意向。」
	    
  	  	完
  	  	２０１２年７月３日（星期二）香港時間１６時４３分
  	    
    ",2012-07-03,行政長官向立法會介紹施政理念
http://www.info.gov.hk/gia/general/201207/03/P201207030388.htm,"
    	
	      行政長官與行政會議非官守議員召集人會見傳媒談話全文（附短片）
	    ＊＊＊＊＊＊＊＊＊＊＊＊＊＊＊＊＊＊＊＊＊＊＊＊＊＊＊＊＊＊
	    　　以下是行政長官梁振英今日（七月三日）下午與行政會議非官守議員召集人林煥光在行政長官辦公室地下大堂會見傳媒的談話全文：行政長官：新聞界朋友，大家好。今日是新一屆的行政會議第一次開會的日子，所以我專門請全體十四位行政會議非官守成員下來與大家見面。　　今日行政會議正式進入工作，我們剛才上午開了足足一個上午的會議，會議的進程十分好，每一位非官守成員都能夠發揮他們所長，對我來說，有十分大的施政上的幫助。　　我過去都宣布過，我說我希望行政會議能夠在工作方面有一定的改革，包括甚麼呢？我們開會的時間稍為延長一點，由上午九時半開始，不一定到中午就結束，有需要的話，我們可以開至下午四時半，使到大家有比較充分時間去討論我們議程上的各個議題。還有，暑假和大節日的假期亦會減少，譬如即將來臨這個暑假，我們不會好像往年般放八、九個星期假期，而是把假期由八、九個星期縮短至兩個星期，這些都是我們行政會議的工作方式、方法，有一些調整的地方。　　在我請林煥光召集人向大家說幾句前，亦想向新聞界朋友宣布一下，我的新一屆政府會在各個方面盡量配合媒體的採訪工作。我知道每個星期二，大家都在大門外等候，尤其是夏天，因為溫度比較高，所以大家比較辛苦。所以我與大家同事商量後，我們決定每個星期二行政會議開會期間，如果大家願意的話，請大家從外面進入基本上這個範圍，大家可以在這個範圍或者我們有一個記者休息室給予大家休息。如果我或者行政會議成員他們在開會前後有說話要說的，或是回應大家問題時，就在這個範圍回應大家的問題。希望這個安排受到大家歡迎和接受，出發點是配合媒體的採訪工作，好嗎？現在請林煥光召集人說幾句。行政會議非官守議員召集人林煥光：大家好。行政會議成員，包括我們非官守成員的職責，就是協助行政長官做決策。我們今早大家交流過，就是在如何協助好行政長官去做決策的過程中，我們可以如何與官守議員和他的團隊更加多的配合、更加多的溝通，建立更加多的切入點。使我們非官守議員的成員，可以對政策的醞釀和發展過程，能夠有參與的機會，從而能夠更好地協助行政長官的決策的工作，這個是今早其中一個主要的討論點。記者：CY，你說回家去check一下花棚，check了花棚後．．．．．．行政長官：我希望我家裏的事情，在各個專業人士完成他們的工作時，我能夠一次過回應大家的問題。記者：昨日落區你有甚麼感受？市民叫你「下台」的聲音很大呢。同時，你如何回應四十萬人叫你「下台」的訴求？行政長官：昨日落區的效果是十分好的。在筲箕灣和屯門會見地區市民，在首個多小時的時間，我和跟我行「孖必」的問責官員和市民之間都有很好的互動，聽到大家很多很好的意見和建議。到了屯門最後的幾分鐘，由於想發問的朋友太多，亦有人大聲叫一些口號或者問題，所以會面要這樣結束。其實完全不影響我或是我問責團隊的同事落區的意願和計劃。　　我們今早亦總結了，我們昨日落六個區的同事總結了經驗，大家覺得經驗是好的，我們應該繼續做，我們應該拉近我們與市民之間的距離。昨日在屯門發生的事，完全不影響我們對落區的需要的看法。　　至於市民對我們工作或是我本人的工作有甚麼不滿的地方，我仍然會抱一個虛心、謙卑的態度去聽大家的意見，所有大家對我的要求或者批評，有則改之，無則加勉，做好工作，因為我們每一個人在政府內、在行政會議內都是為社會大眾服務的。多謝大家。（請同時參閱談話全文的英文部分。）
	    
  	  	完
  	  	２０１２年７月３日（星期二）香港時間１５時０１分
  	    
    ",2012-07-03,行政長官與行政會議非官守議員召集人會見傳媒談話全文（附短片）
http://www.info.gov.hk/gia/general/201207/05/P201207050584.htm,"
    	
	      行政長官與問責團隊再到地區聽取民意
	    ＊＊＊＊＊＊＊＊＊＊＊＊＊＊＊＊＊
	    　　行政長官梁振英與問責團隊將於星期日（七月八日）下午再到地區聽取市民的意見和訴求。　　以下為當日到訪地區的行政長官和主要官員的名單和活動詳情：官員：行政長官梁振英　　　運輸及房屋局局長張炳良時間：下午一時至二時十五分地點：黃大仙樂善道26號東頭社區中心官員：財經事務及庫務局局長陳家強　　　公務員事務局局長鄧國威時間：下午一時至二時十五分地點：九龍城龍崗道63號樂善堂小學（公眾入口設於南角道）官員：財政司司長曾俊華　　　勞工及福利局局長張建宗時間：下午三時至四時十五分地點：大埔安祥路10號大埔舊墟公立學校官員：發展局局長麥齊光　　　保安局局長黎棟國時間：下午三時至四時十五分地點：大嶼山東涌富東青松侯寶垣小學官員：政務司司長林鄭月娥　　　食物及生局局長高永文時間：下午五時至六時十五分地點：鴨洲鴨洲鴨洲社區會堂官員：民政事務局局長曾德成　　　商務及經濟發展局局長蘇錦樑時間：下午五時至六時十五分地點：堅尼地城石山街12號堅尼地城社區綜合大樓11樓　　　5號至7號多用途活動室　　歡迎市民出席，發表意見。
	    
  	  	完
  	  	２０１２年７月５日（星期四）香港時間１８時４４分
  	    
    ",2012-07-05,行政長官與問責團隊再到地區聽取民意
http://www.info.gov.hk/gia/general/201207/05/P201207050579.htm,"
    	
	      行政長官與批發零售業界會面
	    ＊＊＊＊＊＊＊＊＊＊＊＊＊
	    　　行政長官梁振英今日（七月五日）出席批發及零售業界舉辦的午宴，向逾百位業界人士介紹新一屆政府的施政理念，並聽取他們對新一屆政府的期望和意見。　　會上，梁振英重申對批發及零售業的發展非常重視。他說：「這行業不單是民生所需，也是推動旅遊業發展的重要環節。我會密切注意經濟情況對業界的影響，萬一經濟形勢逆轉，我會不失時機地要求中央擴大自由行，開放更多自由行城市。」　　梁振英又應業界要求適量增加土地供應，希望有助紓緩租金上升對業界經營帶來的壓力。
	    
  	  	完
  	  	２０１２年７月５日（星期四）香港時間１８時２４分
  	    
    ",2012-07-05,行政長官與批發零售業界會面
http://www.info.gov.hk/gia/general/201207/05/P201207050554.htm,"
    	
	      行政長官出席外交部駐港特派員公署慶祝香港回歸暨外交部駐港特派員公署成立十五周年酒會致辭全文（只有中文）（附圖／短片）
	    ＊＊＊＊＊＊＊＊＊＊＊＊＊＊＊＊＊＊＊＊＊＊＊＊＊＊＊＊＊＊
	    　　以下是行政長官梁振英今日（七月五日）在外交部駐港特派員公署慶祝香港回歸暨外交部駐港特派員公署成立十五周年酒會上的致辭全文︰董（建華）副主席、崔（天凱）副部長、宋（哲）特派員、各位尊敬的嘉賓︰　　今天我很高興出席這個酒會，慶祝香港回歸祖國十五周年，以及外交部駐港特派員公署成立十五周年。在這十五年間，承蒙外交部和公署的大力支持，特區政府根據《基本法》積極開展對外事務，向外展示「一國兩制」的成功落實。香港回歸祖國十五年來，一直得到公署不遺餘力的支持。香港不但經濟得以蓬勃發展，與外國和國際組織的交往和合作更大大提升，參與對外事務的範圍更廣、程度更深。　　回歸以來，特區政府以「中國香港」的名義參加了超過200個不以國家為單位的國際組織，特區政府亦以中國代表團成員，或中央人民政府和有關組織所允許的身分，參加了超過20個以國家為單位的組織。此外，在中央政府的大力支持下，有多位香港人在國際組織中擔當領導角色，例如天文台台長岑智明在二○○八年當選世界氣象組織航空氣象學委員會主席，以及前生署署長陳馮富珍最近獲連任世界生組織總幹事。　　除了參與國際組織，香港特區在公署的支持下，也舉辦了很多高層次的國際性會議，包括世界貿易組織第六次部長級會議和國際電信聯盟世界電訊展等。此外，按照《基本法》的有關規定，特區政府在中央人民政府的授權及協助下，與外國簽訂了超過150份雙邊協定，以及自行與外地及有關國際組織簽訂超過300條協議。　　香港在國際間的地位，也反映在領館的數目上。香港是世界上設立領館數目最多的城市之一。目前，外國駐港領事機構多達121個，包括59個總領事館和62個領事館。此外，歐盟、國際貨幣基金組織等五家國際組織也在香港開設了辦事處。　　藉今天慶祝公署成立十五周年的酒會，我謹代表香港特別行政區和特區政府，衷心感謝外交部和外交部駐港特派員公署對特區在對外事務工作的大力支持。我衷心希望︰在公署的支持下，特區政府可以繼續積極開展對外事務，為國家和香港的發展作出更大的貢獻！　　謝謝各位。
	    
  	  	完
  	  	２０１２年７月５日（星期四）香港時間１７時４１分
  	    
    ",2012-07-05,行政長官出席外交部駐港特派員公署慶祝香港回歸暨外交部駐港特派員公署成立十五周年酒會致辭全文（只有中文）（附圖／短片）
http://www.info.gov.hk/gia/general/201207/08/P201207080512.htm,"
    	
	      行政長官出席香江聚賢執行委員會就職典禮致辭全文（只有中文）（附圖／短片）
	    ＊＊＊＊＊＊＊＊＊＊＊＊＊＊＊＊＊＊＊＊＊＊＊＊＊＊＊＊＊＊
	    　　以下為行政長官梁振英今日（七月八日）出席香江聚賢慶祝香港回歸十五周年暨第二屆執行委員會就職典禮的致辭全文：張學修會長、方文雄主席、各位主禮嘉賓、各位朋友：　　大家好！我非常高興獲得香江聚賢邀請，出席今晚的盛會，與在座各位聚首一堂，一起慶祝香港回歸祖國十五周年，以及見證香江聚賢第二屆執行委員會就職。　　香江聚賢由一群愛國愛港的中產及工商專業界人士創立，宗旨是鞏固香港的核心價值，維護香港和諧發展，並推動兩岸四地的經濟與文化交流。香江聚賢成立短短兩年已建樹良多：一方面，就社區和不同行業關注的各種問題，進言獻策；另一方面，不時舉辦多類活動，例如到北京、天津、深圳和澳門等地訪問，促進香港與內地之間的交流，舉行時事講座，提供平台讓會員和市民討論社會問題，集思廣益。貴會的工作有助促進香港發展，加深對祖國的認識，意義重大。　　我向來重視社會不同階層、不同界別、不同地區、不同團體的意見。不論工作如何繁忙，我也希望能夠走入群眾，親身聆聽他們的心聲。競選期間，我進行了過百次區訪；上任後，我和我的團隊也繼續到訪不同的地區，以加深了解各個階層、各個行業、各個地區的訴求。　　我十分認同貴會的理念。就職當日，我在演辭中提到，經濟持續發展是香港繁榮的根基，是市民生活的依靠。所以我會致力經濟多元發展，做到百業興旺，增加就業機會，協助基層市民向上流動，這對社會和諧穩定發展至為重要。　　香江聚賢集合了中產和工商界的精英，我希望各位日後能夠繼續積極多發表意見，多提建議。事實上，只有透過理性討論交流，多做實務工作，才能夠促進社會穩定發展。我深信在大家共同努力下，香港定必能夠穩中求變，朝更美好的明天進發。讓我們團結一致，齊心一意為香港，一同建設更美好的家園。　　最後，我祝願祖國富強昌盛，香港欣欣向榮，香江聚賢百尺竿頭，更進一步。　　多謝各位。
	    
  	  	完
  	  	２０１２年７月８日（星期日）香港時間１９時４６分
  	    
    ",2012-07-08,行政長官出席香江聚賢執行委員會就職典禮致辭全文（只有中文）（附圖／短片）
