date,title,link
2012-07-01,警方致力協調大型公眾活動（只有中文）,http://www.info.gov.hk/gia/general/201207/01/P201207010605.htm
2012-07-01,警方安排監警會觀察七一公眾活動,http://www.info.gov.hk/gia/general/201207/01/P201207010586.htm
2012-07-01,警方對遊行人士作出呼籲（二）﹝只有中文﹞,http://www.info.gov.hk/gia/general/201207/01/P201207010429.htm
2012-07-01,泳灘懸掛鯊魚旗及紅旗,http://www.info.gov.hk/gia/general/201207/01/P201207010399.htm
2012-07-01,政府回應七一遊行,http://www.info.gov.hk/gia/general/201207/01/P201207010407.htm
2012-07-01,警方對遊行人士作出呼籲（一）（只有中文）,http://www.info.gov.hk/gia/general/201207/01/P201207010405.htm
2012-07-01,尋回失蹤男子,http://www.info.gov.hk/gia/general/201207/01/P201207010389.htm
2012-07-01,西區致命交通意外,http://www.info.gov.hk/gia/general/201207/01/P201207010381.htm
2012-07-01,行政長官在香港特別行政區第四屆政府就職典禮致辭全文（附圖／短片）,http://www.info.gov.hk/gia/general/201207/01/P201207010277.htm
2012-07-01,國家主席出席「慶祝香港回歸祖國十五周年大會暨香港特別行政區第四屆政府就職典禮」（附圖／短片）,http://www.info.gov.hk/gia/general/201207/01/P201207010263.htm
2012-07-01,濕地公園車位已泊滿,http://www.info.gov.hk/gia/general/201207/01/P201207010243.htm
2012-07-01,酒牌局周二舉行會議,http://www.info.gov.hk/gia/general/201207/01/P201206290580.htm
2012-07-01,賽馬日沙田特別交通措施,http://www.info.gov.hk/gia/general/201207/01/P201206290874.htm
2012-07-01,康文署提醒市民欣賞「慶祝香港特別行政區成立十五周年煙花匯演」時保持地方清潔,http://www.info.gov.hk/gia/general/201207/01/P201207010186.htm
2012-07-01,香港特別行政區第四屆政府就職典禮（附圖／短片）,http://www.info.gov.hk/gia/general/201207/01/P201207010182.htm
2012-07-01,泳灘懸掛紅旗（二）,http://www.info.gov.hk/gia/general/201207/01/P201207010185.htm
2012-07-01,泳灘懸掛紅旗,http://www.info.gov.hk/gia/general/201207/01/P201207010153.htm
2012-07-02,教育局局長屯門會見傳媒談話全文（只有中文）,http://www.info.gov.hk/gia/general/201207/02/P201207020517.htm
2012-07-02,財政司司長大角咀會見傳媒談話全文（只有中文）（附圖／短片）,http://www.info.gov.hk/gia/general/201207/02/P201207020482.htm
2012-07-02,民政事務局局長和勞工及福利局局長葵青區會見傳媒談話全文（只有中文）（附圖）,http://www.info.gov.hk/gia/general/201207/02/P201207020451.htm
2012-07-02,社會保障受助人獲發一筆過額外援助金,http://www.info.gov.hk/gia/general/201207/02/P201206290513.htm
2012-07-02,青山醫院呼吸道受感染個案組群最新情況,http://www.info.gov.hk/gia/general/201207/02/P201207020351.htm
2012-07-02,政務司司長將軍澳會見傳媒談話全文（只有中文）（附圖／短片）,http://www.info.gov.hk/gia/general/201207/02/P201207020353.htm
2012-07-02,行政長官筲箕灣會見傳媒談話全文（只有中文）（附圖／短片）,http://www.info.gov.hk/gia/general/201207/02/P201207020347.htm
2012-07-02,政務司司長出席「新界各界人士慶祝香港回歸祖國十五周年」暨「香港特別行政區第四屆政府成立」典禮致辭全文（只有中文）（附圖／短片）,http://www.info.gov.hk/gia/general/201207/02/P201207020277.htm
2012-07-02,離島區及南區泳灘重開,http://www.info.gov.hk/gia/general/201207/02/P201207020252.htm
2012-07-02,行政長官談話全文（只有中文）（附圖）,http://www.info.gov.hk/gia/general/201207/02/P201207020235.htm
2012-07-02,濕地公園車位已泊滿,http://www.info.gov.hk/gia/general/201207/02/P201207020236.htm
2012-07-02,泳灘懸掛紅旗,http://www.info.gov.hk/gia/general/201207/02/P201207020156.htm
2012-07-03,立法會：財經事務及庫務局局長動議恢復二讀辯論《公司條例草案》致辭全文（只有中文）,http://www.info.gov.hk/gia/general/201207/03/P201207030633.htm
2012-07-03,警隊與傳媒保持溝通便利雙方工作,http://www.info.gov.hk/gia/general/201207/03/P201207030604.htm
2012-07-03,行政長官發言全文（只有中文）（附短片）,http://www.info.gov.hk/gia/general/201207/03/P201207030597.htm
2012-07-03,香港於首爾舉行酒會慶祝回歸（附圖）,http://www.info.gov.hk/gia/general/201207/03/P201207030548.htm
2012-07-03,內地學生因經營無牌賓館違反逗留條件罪成,http://www.info.gov.hk/gia/general/201207/03/P201207030477.htm
2012-07-03,青山醫院呼吸道合胞體病毒個案組群最新情況,http://www.info.gov.hk/gia/general/201207/03/P201207030476.htm
2012-07-03,立法會將辯論有關積極落實《內地與香港關於建立更緊密經貿關係的安排》及相關新措施的議案,http://www.info.gov.hk/gia/general/201207/03/P201207030486.htm
2012-07-03,立法會：保安局局長在《２０１２年聯合國（反恐怖主義措施）（修訂）條例草案》三讀通過前的致辭（只有中文）,http://www.info.gov.hk/gia/general/201207/03/P201207030499.htm
2012-07-03,立法會：保安局局長在全體委員會審議階段就《２０１２年聯合國（反恐怖主義措施）（修訂）條例草案》的回應全文（只有中文）,http://www.info.gov.hk/gia/general/201207/03/P201207030498.htm
2012-07-03,立法會：保安局局長動議恢復二讀辯論《２０１２年聯合國（反恐怖主義措施）（修訂）條例草案》致辭全文（只有中文）,http://www.info.gov.hk/gia/general/201207/03/P201207030495.htm
2012-07-03,政務司司長首天工作與司法立法機關會面（附圖）,http://www.info.gov.hk/gia/general/201207/03/P201207030505.htm
2012-07-03,民政事務總署開放夜間臨時避暑中心,http://www.info.gov.hk/gia/general/201207/03/P201207030463.htm
2012-07-03,社會福利署以綜合服務模式推行違法者服務,http://www.info.gov.hk/gia/general/201207/03/P201207030379.htm
2012-07-03,行政長官向立法會介紹施政理念,http://www.info.gov.hk/gia/general/201207/03/P201207030436.htm
2012-07-03,保安局局長會見傳媒談話全文（只有中文）,http://www.info.gov.hk/gia/general/201207/03/P201207030421.htm
2012-07-03,二零一二年五月份的零售業銷貨額臨時統計數字,http://www.info.gov.hk/gia/general/201207/03/P201207030402.htm
2012-07-03,港匯指數,http://www.info.gov.hk/gia/general/201207/03/P201207030240.htm
2012-07-03,慶香港回歸十五周年活動　展現香港創意及活力澎湃（附圖）,http://www.info.gov.hk/gia/general/201207/03/P201207030329.htm
2012-07-03,西九龍部分地區沖廁水供應暫停,http://www.info.gov.hk/gia/general/201207/03/P201207030387.htm
2012-07-03,第一屆兩岸四地學校輔導國際學術研討會明日舉行,http://www.info.gov.hk/gia/general/201207/03/P201207030372.htm
2012-07-03,行政長官與行政會議非官守議員召集人會見傳媒談話全文（附短片）,http://www.info.gov.hk/gia/general/201207/03/P201207030388.htm
2012-07-03,預防中暑及曬傷措施,http://www.info.gov.hk/gia/general/201207/03/P201207030365.htm
2012-07-03,二○一三至一四年度尤德爵士紀念基金海外研究生獎學金及海外獎學金接受申請,http://www.info.gov.hk/gia/general/201207/03/P201207030295.htm
2012-07-03,僱主應評估僱員中暑的風險,http://www.info.gov.hk/gia/general/201207/03/P201207030344.htm
2012-07-03,酷熱天氣警告已發出,http://www.info.gov.hk/gia/general/201207/03/P201207030337.htm
